Super-Resolution Results

Input image: C:\Users\micha\OneDrive\שולחן העבודה\wordsFiles\Brain_Mri\results\restoration\rotation_restored.png
Original size: 224x224
Downsampled x2 size: 112x112

method,mse,psnr
nearest,245.6929,24.2269
bilinear,185.5796,25.4455
bicubic,109.7310,27.7275
lanczos,78.3960,29.1879
sharpened_lanczos,138.9962,26.7008
