Super-Resolution Results

Input image: C:\Users\micha\OneDrive\שולחן העבודה\wordsFiles\Brain_Mri\result\results task 2\super_resolution_snr\distortions\gaussian_blur_sigma_1_5.png
Original size: 224x224
Downsampled x2 size: 112x112

method,mse,rmse,mae,psnr,ssim,reconstruction_score
nearest,46.1446,6.7930,3.7546,31.4896,0.994107,98.53
bilinear,10.9727,3.3125,1.9136,37.7277,0.998577,99.25
bicubic,2.3525,1.5338,0.8590,44.4156,0.999699,99.66
lanczos,0.8351,0.9138,0.5196,48.9135,0.999893,99.80
sharpened_lanczos,42.5894,6.5261,3.4901,31.8378,0.994811,98.63
