method,basic_mask_map50,basic_mask_map50_95
gaussian_noise_snr_5db,0.6962612317018593,0.3929981516917519
gaussian_noise_snr_15db,0.8280292552486207,0.4901950551979299
gaussian_noise_snr_30db,0.8474825723989032,0.5220446949683397
gaussian_blur_sigma_0_5,0.8393462480572971,0.5178674671195622
gaussian_blur_sigma_1_5,0.8501584200028978,0.5057514855521597
gaussian_blur_sigma_3_0,0.7865985014247063,0.4427064024566353
brightness_contrast_b1_15_c1_25,0.8429683059387979,0.5165029016264099
brightness_contrast_b1_35_c1_55,0.8353485010483451,0.5069539423909941
brightness_contrast_b1_55_c1_80,0.8151757564136348,0.46773116097747935
