method,basic_restored_mask_map50,basic_restored_mask_map50_95
gaussian_noise_snr_5db,0.7738833080877217,0.4420713761795123
gaussian_noise_snr_15db,0.8285603416929576,0.49712417604844716
gaussian_noise_snr_30db,0.8382056515262087,0.5051914727858487
gaussian_blur_sigma_0_5,0.8179943604985023,0.4938828015773941
gaussian_blur_sigma_1_5,0.8256494817268829,0.499929587562052
gaussian_blur_sigma_3_0,0.7937239735667541,0.4500354105076128
brightness_contrast_b1_15_c1_25,0.8365370578339808,0.5054172031762145
brightness_contrast_b1_35_c1_55,0.8356314651293795,0.5069079640585559
brightness_contrast_b1_55_c1_80,0.8132095054814572,0.473825272423568
