Super-Resolution Results

Input image: C:\Users\micha\OneDrive\שולחן העבודה\wordsFiles\Brain_Mri\result\results task 2\super_resolution_snr\distortions\gaussian_noise_snr_15db.png
Original size: 224x224
Downsampled x2 size: 112x112

method,mse,rmse,mae,psnr,ssim,reconstruction_score
nearest,342.7611,18.5138,12.3197,22.7809,0.969612,95.17
bilinear,293.9892,17.1461,12.0663,23.4475,0.974485,95.27
bicubic,225.4028,15.0134,10.7804,24.6012,0.982632,95.77
lanczos,198.9260,14.1041,10.2734,25.1439,0.985687,95.97
sharpened_lanczos,261.9338,16.1844,11.4339,23.9489,0.980675,95.52
