Super-Resolution Results

Input image: C:\Users\micha\OneDrive\שולחן העבודה\wordsFiles\Brain_Mri\results\restoration\brightness_contrast_restored.png
Original size: 224x224
Downsampled x2 size: 112x112

method,mse,psnr
nearest,332.0726,22.9185
bilinear,261.2013,23.9611
bicubic,173.7884,25.7306
lanczos,143.0277,26.5766
sharpened_lanczos,193.8731,25.2556
