epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,208.276,1.5126,2.85777,1.66028,1.24727,0,0.75651,0.62272,0.67543,0.39294,0.73803,0.58894,0.62825,0.32653,1.4803,2.73173,1.50331,1.2147,0,0.000665278,0.000665278,0.000665278
2,404.348,1.39913,2.4765,1.11405,1.15503,0,0.83392,0.67672,0.75658,0.47367,0.83204,0.64059,0.70746,0.38929,1.29874,2.67916,1.08942,1.12603,0,0.00120008,0.00120008,0.00120008
3,598.164,1.3671,2.32336,1.0088,1.13902,0,0.89387,0.74569,0.80779,0.50361,0.90212,0.71507,0.76729,0.42056,1.29988,2.4457,0.99464,1.12263,0,0.00160289,0.00160289,0.00160289
4,797.647,1.30097,2.25333,0.9218,1.09765,0,0.91339,0.7273,0.81461,0.48983,0.8917,0.70977,0.76928,0.44548,1.35618,2.43773,0.89875,1.11716,0,0.001406,0.001406,0.001406
5,993.212,1.24694,2.1309,0.84271,1.07319,0,0.9517,0.73922,0.83581,0.54526,0.92405,0.71983,0.81095,0.47983,1.19558,2.37172,0.77303,1.04392,0,0.001208,0.001208,0.001208
6,1185.73,1.19858,2.0457,0.79148,1.05444,0,0.90995,0.76293,0.84978,0.54249,0.88545,0.74353,0.81543,0.47035,1.21449,2.23262,0.76165,1.05407,0,0.00101,0.00101,0.00101
7,1378.71,1.16549,2.0138,0.72892,1.02854,0,0.92533,0.77155,0.87006,0.56666,0.90607,0.74845,0.82596,0.4799,1.17726,2.24365,0.70063,1.04093,0,0.000812,0.000812,0.000812
8,1567.75,1.10426,1.96029,0.69768,1.01963,0,0.93624,0.75946,0.86924,0.59302,0.93088,0.74138,0.83324,0.49529,1.09606,2.15494,0.65194,1.00032,0,0.000614,0.000614,0.000614
9,1757.02,1.07015,1.89225,0.65109,0.99184,0,0.90772,0.7931,0.87625,0.59083,0.9119,0.78664,0.85848,0.51185,1.1062,2.09205,0.64495,1.00046,0,0.000416,0.000416,0.000416
10,1954.69,1.04183,1.84233,0.6212,0.97577,0,0.8885,0.80713,0.88795,0.61451,0.9401,0.74414,0.84877,0.51851,1.04234,2.08219,0.61635,0.97059,0,0.000218,0.000218,0.000218
