epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,209.106,1.54658,2.93025,1.67382,1.25839,0,0.78705,0.66164,0.71629,0.42038,0.7783,0.6056,0.65802,0.32507,1.44912,2.87683,1.27218,1.19097,0,0.000665278,0.000665278,0.000665278
2,421.175,1.43686,2.50118,1.12292,1.1702,0,0.86593,0.69599,0.76849,0.46004,0.8401,0.66804,0.71367,0.37979,1.40125,2.75676,1.02003,1.15967,0,0.00120008,0.00120008,0.00120008
3,624.501,1.38154,2.3633,1.0225,1.14956,0,0.87384,0.70162,0.78252,0.47017,0.85988,0.67672,0.73668,0.39216,1.36019,2.57271,0.9807,1.13603,0,0.00160289,0.00160289,0.00160289
4,822.572,1.34115,2.30929,0.93877,1.10903,0,0.93361,0.72735,0.82439,0.50613,0.90636,0.70922,0.78507,0.43866,1.31701,2.47181,0.86739,1.09186,0,0.001406,0.001406,0.001406
5,1025.37,1.28198,2.22027,0.86569,1.09102,0,0.92681,0.76078,0.82731,0.5414,0.88497,0.74613,0.79615,0.46116,1.21542,2.3682,0.82793,1.05419,0,0.001208,0.001208,0.001208
6,1227,1.22584,2.12106,0.78432,1.06621,0,0.92099,0.75369,0.84033,0.53277,0.91872,0.73081,0.80247,0.44634,1.25021,2.38797,0.7702,1.06872,0,0.00101,0.00101,0.00101
7,1424.07,1.18632,2.06741,0.75298,1.03882,0,0.91337,0.7694,0.85605,0.5573,0.90355,0.74703,0.81601,0.46084,1.22047,2.32686,0.73384,1.05442,0,0.000812,0.000812,0.000812
8,1623.52,1.14245,2.01461,0.70714,1.03129,0,0.93919,0.77155,0.8706,0.58437,0.93283,0.74353,0.82735,0.48798,1.15509,2.25699,0.68697,1.00938,0,0.000614,0.000614,0.000614
9,1821.62,1.10881,1.97467,0.66842,1.0054,0,0.93612,0.77802,0.87033,0.59196,0.90853,0.76509,0.84319,0.50384,1.11746,2.18403,0.63917,1.01035,0,0.000416,0.000416,0.000416
10,2017.87,1.06951,1.91667,0.63645,0.99092,0,0.91847,0.78448,0.87701,0.59756,0.91303,0.75647,0.83918,0.49709,1.13071,2.20714,0.64515,1.00519,0,0.000218,0.000218,0.000218
