epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,194.525,1.52837,2.89384,1.66275,1.24798,0,0.86266,0.66164,0.74563,0.45487,0.84561,0.64871,0.69835,0.35577,1.38863,2.80682,1.21836,1.15613,0,0.000665278,0.000665278,0.000665278
2,378.335,1.41712,2.56199,1.1325,1.16423,0,0.90372,0.66164,0.77396,0.46512,0.86398,0.63147,0.69881,0.37873,1.36989,2.79818,1.12714,1.14953,0,0.00120008,0.00120008,0.00120008
3,558.86,1.39356,2.45156,1.00892,1.14603,0,0.87542,0.71552,0.7825,0.46766,0.87356,0.70474,0.74561,0.39879,1.35203,2.4475,0.98023,1.11614,0,0.00160289,0.00160289,0.00160289
4,739.712,1.34341,2.35796,0.95902,1.11444,0,0.89421,0.72845,0.8143,0.51411,0.93248,0.68461,0.77106,0.44843,1.28989,2.39781,0.8692,1.08657,0,0.001406,0.001406,0.001406
5,929.404,1.26399,2.24928,0.85376,1.08109,0,0.87924,0.78017,0.8447,0.5523,0.93523,0.71336,0.81243,0.49617,1.20832,2.22725,0.77916,1.04468,0,0.001208,0.001208,0.001208
6,1111.15,1.2094,2.15604,0.79725,1.0577,0,0.86448,0.78017,0.84483,0.52869,0.89513,0.71336,0.80483,0.45634,1.21647,2.28501,0.80543,1.04751,0,0.00101,0.00101,0.00101
7,1292.87,1.17456,2.11848,0.75376,1.03364,0,0.93167,0.75216,0.86204,0.5627,0.91243,0.74105,0.81799,0.46914,1.21771,2.33456,0.7305,1.05291,0,0.000812,0.000812,0.000812
8,1476.2,1.13122,2.07831,0.69712,1.02427,0,0.91381,0.77688,0.86334,0.59041,0.89285,0.75424,0.83304,0.50452,1.10729,2.15905,0.6629,0.99301,0,0.000614,0.000614,0.000614
9,1661.67,1.0985,2.01153,0.6666,1.00426,0,0.91217,0.78233,0.87601,0.59521,0.93027,0.74138,0.83151,0.49967,1.09528,2.1383,0.63942,0.99297,0,0.000416,0.000416,0.000416
10,1846.6,1.05669,1.95874,0.63423,0.98368,0,0.93984,0.78233,0.88431,0.59744,0.92471,0.76767,0.84978,0.4969,1.09881,2.13152,0.63057,0.99059,0,0.000218,0.000218,0.000218
