Super-Resolution Results

Input image: C:\Users\micha\OneDrive\שולחן העבודה\wordsFiles\Brain_Mri\result\results task 2\super_resolution_snr\distortions\gaussian_blur_sigma_0_5.png
Original size: 224x224
Downsampled x2 size: 112x112

method,mse,rmse,mae,psnr,ssim,reconstruction_score
nearest,163.7012,12.7946,6.3069,25.9903,0.982123,97.53
bilinear,104.9133,10.2427,5.2824,27.9225,0.988164,97.93
bicubic,55.8814,7.4754,3.8217,30.6581,0.993847,98.50
lanczos,37.5566,6.1283,3.1541,32.3839,0.995898,98.76
sharpened_lanczos,115.5891,10.7512,6.0576,27.5016,0.988402,97.62
