Super-Resolution Results

Input image: C:\Users\micha\OneDrive\שולחן העבודה\wordsFiles\Brain_Mri\result\results task 2\super_resolution_snr\restoration\salt_and_pepper_density_0_10_restored.png
Original size: 224x224
Downsampled x2 size: 112x112

method,mse,rmse,mae,psnr,ssim,reconstruction_score
nearest,181.0925,13.4571,5.9828,25.5518,0.980171,97.65
bilinear,123.0676,11.0936,5.2825,27.2294,0.986094,97.93
bicubic,75.7506,8.7035,3.9688,29.3369,0.991638,98.44
lanczos,57.8163,7.6037,3.4721,30.5103,0.993665,98.64
sharpened_lanczos,120.7794,10.9900,5.8296,27.3109,0.987772,97.71
