epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,205.733,1.53973,2.86654,1.65154,1.24965,0,0.73799,0.70418,0.70837,0.39945,0.71649,0.67537,0.66228,0.3327,1.43859,2.64253,1.33462,1.251,0,0.000665278,0.000665278,0.000665278
2,410.425,1.43801,2.49124,1.13769,1.16903,0,0.86757,0.70594,0.7868,0.45216,0.86414,0.68103,0.73836,0.39431,1.39665,2.58263,1.06409,1.14929,0,0.00120008,0.00120008,0.00120008
3,605.65,1.38494,2.36125,1.01001,1.15088,0,0.91176,0.70905,0.7959,0.50009,0.90201,0.70259,0.7625,0.42959,1.30619,2.43953,0.95849,1.09911,0,0.00160289,0.00160289,0.00160289
4,800.734,1.3211,2.27243,0.93072,1.10203,0,0.92325,0.72845,0.82132,0.51739,0.90426,0.71983,0.79179,0.46146,1.28756,2.38167,0.86111,1.08358,0,0.001406,0.001406,0.001406
5,996.752,1.26423,2.17565,0.85472,1.08998,0,0.85297,0.78768,0.84341,0.54908,0.89399,0.73707,0.81693,0.47193,1.22301,2.34598,0.78392,1.06062,0,0.001208,0.001208,0.001208
6,1193.73,1.22352,2.0958,0.78632,1.06636,0,0.91295,0.76848,0.84853,0.54407,0.90823,0.74784,0.82277,0.47227,1.22362,2.26902,0.73643,1.05048,0,0.00101,0.00101,0.00101
7,37229.2,1.19266,2.03517,0.7393,1.03761,0,0.91373,0.77606,0.86677,0.55827,0.90877,0.77287,0.83258,0.46793,1.20311,2.28076,0.72991,1.04568,0,0.000812,0.000812,0.000812
8,37493.1,1.12564,1.98761,0.68234,1.02432,0,0.92167,0.76509,0.86517,0.57078,0.90879,0.75159,0.8345,0.49923,1.17207,2.15618,0.67745,1.02113,0,0.000614,0.000614,0.000614
9,37721.2,1.10448,1.95566,0.66503,1.00282,0,0.93719,0.78233,0.87091,0.5739,0.94229,0.77155,0.85395,0.50111,1.16734,2.13149,0.63984,1.01103,0,0.000416,0.000416,0.000416
10,37927.5,1.06106,1.87915,0.62656,0.98687,0,0.91299,0.80603,0.88093,0.59258,0.91486,0.76419,0.84591,0.5033,1.11385,2.07831,0.63413,1.00531,0,0.000218,0.000218,0.000218
