epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,195.011,1.52188,2.84309,1.65342,1.24212,0,0.81274,0.68282,0.73511,0.40942,0.78954,0.66297,0.69391,0.36081,1.50486,2.69584,1.28698,1.25028,0,0.000665278,0.000665278,0.000665278
2,379.671,1.40128,2.45755,1.13436,1.16557,0,0.88576,0.67888,0.79003,0.49191,0.88474,0.64516,0.72988,0.39493,1.33721,2.6435,0.99646,1.14265,0,0.00120008,0.00120008,0.00120008
3,560.59,1.35946,2.33347,1.01044,1.14615,0,0.91533,0.7069,0.79721,0.49909,0.89276,0.69828,0.7625,0.42649,1.30796,2.38988,0.96574,1.11934,0,0.00160289,0.00160289,0.00160289
4,739.973,1.30886,2.262,0.9153,1.10882,0,0.87184,0.74569,0.82363,0.51518,0.86657,0.7306,0.78602,0.43443,1.29851,2.38026,0.87361,1.10264,0,0.001406,0.001406,0.001406
5,919.65,1.244,2.16624,0.85659,1.08225,0,0.91689,0.75,0.83708,0.55568,0.88594,0.73653,0.81054,0.48059,1.18701,2.25094,0.76372,1.03933,0,0.001208,0.001208,0.001208
6,1102.64,1.18948,2.06011,0.78704,1.06059,0,0.88672,0.76509,0.84371,0.55583,0.87469,0.75,0.81549,0.47842,1.15835,2.17856,0.75826,1.03941,0,0.00101,0.00101,0.00101
7,1283.29,1.14413,2.01486,0.72678,1.02801,0,0.91264,0.75862,0.86117,0.5727,0.91398,0.75216,0.83314,0.47459,1.14011,2.2403,0.70649,1.03033,0,0.000812,0.000812,0.000812
8,1461.77,1.10312,1.96174,0.68151,1.02045,0,0.91857,0.80223,0.87681,0.58521,0.90076,0.78245,0.84638,0.49605,1.13162,2.1549,0.65512,1.01065,0,0.000614,0.000614,0.000614
9,1641.39,1.07642,1.93279,0.65104,1.00278,0,0.94797,0.78017,0.88931,0.60582,0.9293,0.7648,0.86534,0.52884,1.09354,2.07185,0.63349,1.00504,0,0.000416,0.000416,0.000416
10,1820.42,1.04175,1.87042,0.61407,0.98435,0,0.96422,0.78017,0.8881,0.61327,0.93829,0.76509,0.86418,0.52557,1.06219,2.08269,0.6102,0.98867,0,0.000218,0.000218,0.000218
