factor,low_width,low_height,mse,rmse,mae,psnr,reconstruction_score
2,112,112,70.97148038903062,8.424457275636847,4.137137276785714,29.61996496627023,98.37759322478992
3,74,74,255.33171237244898,15.979102364414873,8.126395089285714,24.059756030434887,96.81317839635855
4,56,56,460.5582948022959,21.46062195748986,11.27377630739796,21.49795752374898,95.5789112520008
5,44,44,678.2580117984694,26.04338710303384,14.27116549744898,19.816854283799973,94.40346451080433
6,37,37,844.9953962053571,29.068804519714206,16.307896205357142,18.862260180815976,93.60474658613445
8,28,28,1151.3396245216836,33.93139585283346,19.639887595663264,17.518769092632663,92.29808329581832
10,22,22,1384.365553252551,37.20706321725152,21.90170599489796,16.718295765290172,91.41109568827531
