source,group,image,method,mse,rmse,mae,psnr,ssim,reconstruction_score
perspective_warp_restored,Restoration,perspective_warp_restored.png,nearest,242.2736,15.5651,7.4711,24.2877,0.974892,97.07
perspective_warp_restored,Restoration,perspective_warp_restored.png,bilinear,180.4113,13.4317,6.7732,25.5682,0.980538,97.34
perspective_warp_restored,Restoration,perspective_warp_restored.png,bicubic,104.9008,10.2421,5.0711,27.9230,0.988998,98.01
perspective_warp_restored,Restoration,perspective_warp_restored.png,lanczos,73.5474,8.5760,4.2255,29.4651,0.992359,98.34
perspective_warp_restored,Restoration,perspective_warp_restored.png,sharpened_lanczos,136.4904,11.6829,6.3683,26.7798,0.987006,97.50
pixelation,Distortions,pixelation.png,nearest,29.0608,5.3908,1.9992,33.4977,0.994867,99.22
pixelation,Distortions,pixelation.png,bilinear,26.7477,5.1718,2.3374,33.8579,0.995254,99.08
pixelation,Distortions,pixelation.png,bicubic,22.6048,4.7545,2.0959,34.5888,0.996001,99.18
pixelation,Distortions,pixelation.png,lanczos,21.6550,4.6535,2.2159,34.7752,0.996174,99.13
pixelation,Distortions,pixelation.png,sharpened_lanczos,29.6568,5.4458,2.8614,33.4096,0.994839,98.88
pixelation_restored,Restoration,pixelation_restored.png,nearest,105.8688,10.2893,3.9181,27.8831,0.982131,98.46
pixelation_restored,Restoration,pixelation_restored.png,bilinear,112.5485,10.6089,4.7181,27.6174,0.980814,98.15
pixelation_restored,Restoration,pixelation_restored.png,bicubic,99.8036,9.9902,4.5056,28.1393,0.983093,98.23
pixelation_restored,Restoration,pixelation_restored.png,lanczos,97.2264,9.8603,4.7355,28.2530,0.983562,98.14
pixelation_restored,Restoration,pixelation_restored.png,sharpened_lanczos,111.0385,10.5375,5.7359,27.6761,0.981835,97.75
rotation,Distortions,rotation.png,nearest,236.1376,15.3668,7.3767,24.3992,0.975320,97.11
rotation,Distortions,rotation.png,bilinear,176.8008,13.2966,6.6648,25.6560,0.980798,97.39
rotation,Distortions,rotation.png,bicubic,107.4494,10.3658,5.0981,27.8188,0.988644,98.00
rotation,Distortions,rotation.png,lanczos,79.8725,8.9371,4.3741,29.1068,0.991634,98.28
rotation,Distortions,rotation.png,sharpened_lanczos,141.7831,11.9073,6.4859,26.6146,0.986387,97.46
rotation_restored,Restoration,rotation_restored.png,nearest,245.6929,15.6746,7.5097,24.2269,0.974538,97.06
rotation_restored,Restoration,rotation_restored.png,bilinear,185.5796,13.6228,6.8488,25.4455,0.979980,97.31
rotation_restored,Restoration,rotation_restored.png,bicubic,109.7310,10.4753,5.1719,27.7275,0.988492,97.97
rotation_restored,Restoration,rotation_restored.png,lanczos,78.3960,8.8542,4.3622,29.1879,0.991855,98.29
