source,group,image,method,mse,rmse,mae,psnr,ssim,reconstruction_score
perspective_warp,Distortions vs Original,perspective_warp.png,bilinear,3623.5459,60.1959,33.3070,12.5395,0.573725,86.94
perspective_warp,Distortions vs Original,perspective_warp.png,bicubic,3834.8474,61.9261,34.4373,12.2933,0.559452,86.50
perspective_warp,Distortions vs Original,perspective_warp.png,lanczos,3908.8716,62.5210,34.8191,12.2103,0.554859,86.35
perspective_warp,Distortions vs Original,perspective_warp.png,sharpened_lanczos,4680.3306,68.4129,38.5619,11.4280,0.513948,84.88
perspective_warp_restored,Restoration vs Original,perspective_warp_restored.png,nearest,225.5221,15.0174,7.3421,24.5989,0.976386,97.12
perspective_warp_restored,Restoration vs Original,perspective_warp_restored.png,bilinear,148.6739,12.1932,6.0525,26.4085,0.983796,97.63
perspective_warp_restored,Restoration vs Original,perspective_warp_restored.png,bicubic,89.6548,9.4686,4.6960,28.6051,0.990494,98.16
perspective_warp_restored,Restoration vs Original,perspective_warp_restored.png,lanczos,66.1642,8.1341,4.0687,29.9246,0.993052,98.40
perspective_warp_restored,Restoration vs Original,perspective_warp_restored.png,sharpened_lanczos,176.5851,13.2885,7.4112,25.6613,0.983149,97.09
pixelation,Distortions vs Original,pixelation.png,nearest,1806.9668,42.5084,25.7326,15.5613,0.764025,89.91
pixelation,Distortions vs Original,pixelation.png,bilinear,1783.8193,42.2353,25.6147,15.6173,0.766255,89.96
pixelation,Distortions vs Original,pixelation.png,bicubic,1795.1514,42.3692,25.6504,15.5898,0.765300,89.94
pixelation,Distortions vs Original,pixelation.png,lanczos,1801.0791,42.4391,25.6974,15.5755,0.764747,89.92
pixelation,Distortions vs Original,pixelation.png,sharpened_lanczos,1862.7449,43.1595,26.1279,15.4293,0.759406,89.75
pixelation_restored,Restoration vs Original,pixelation_restored.png,nearest,1882.3013,43.3855,26.3601,15.3839,0.756928,89.66
pixelation_restored,Restoration vs Original,pixelation_restored.png,bilinear,1827.4486,42.7487,26.0064,15.5124,0.762211,89.80
pixelation_restored,Restoration vs Original,pixelation_restored.png,bicubic,1855.9264,43.0805,26.1681,15.4452,0.759654,89.74
pixelation_restored,Restoration vs Original,pixelation_restored.png,lanczos,1870.0109,43.2436,26.2861,15.4124,0.758197,89.69
pixelation_restored,Restoration vs Original,pixelation_restored.png,sharpened_lanczos,2048.7932,45.2636,27.5878,15.0158,0.741696,89.18
rotation,Distortions vs Original,rotation.png,nearest,3949.2874,62.8434,35.6770,12.1656,0.585127,86.01
